482,1h 36m,6.4,105,31,6.2
484,1h 34m,5.8,22,12,6.4
485,2h 10m,6.5,384,142,6.4
486,1h 31m,5.6,42,16,7.6
487,1h 38m,5.5,30,15,6.7
488,1h 41m,6.7,61,32,6.2
489,1h 51m,5.1,29,16,6.4
490,1h 47m,6.5,139,41,6.5
491,1h 55m,6.7,102,23,5.5
492,1h 44m,7.3,132,66,6.1
493,1h 37m,7.5,150,38,7.2
494,2h 13m,6.5,206,61,6.7
495,1h 49m,6.6,132,109,6.7
496,1h 31m,7.3,51,20,7.5
497,1h 51m,7.3,200,42,7.1
499,1h 38m,5.9,23,7,7.1
500,2h 5m,7.1,348,54,6.3
501,2h 11m,7.7,159,59,7.0
502,1h 47m,4.5,150,32,5.9
504,1h 58m,6.1,90,59,6.3
505,1h 27m,4.5,132,25,7.1
506,1h 34m,7.1,102,50,6.1
507,2h 18m,7.5,190,59,7.1
508,2h 5m,7.7,339,58,6.4
509,2h 1m,7.5,308,87,6.6
510,1h 49m,6.1,45,18,6.5
511,1h 52m,6.5,42,12,6.3
512,1h 49m,5.9,85,46,7.4
513,1h 48m,6.1,57,24,6.5
514,1h 37m,6.9,137,49,7.3
515,2h 14m,7.8,254,57,6.5
516,2h 8m,6.2,77,16,5.9
517,2h 5m,6.2,96,27,6.3
518,1h 58m,5.9,113,15,6.9
519,1h 44m,4.1,243,84,6.2
520,1h 44m,6.7,241,51,6.4
521,1h 50m,6.6,108,39,7.3
522,1h 34m,6.8,167,40,5.9
523,1h 54m,6.9,70,11,6.8
524,1h 54m,7.5,207,35,6.7
526,2h 6m,6.9,27,11,6.2
527,3h 15m,9.0,2.2K,148,7.0
528,1h 41m,5.4,45,18,6.1
529,1h 49m,7.4,133,37,7.3
531,1h 41m,7.3,126,30,7.1
532,1h 35m,6.8,148,55,6.9
533,1h 48m,6.0,174,86,6.0
534,2h 11m,7.3,119,23,7.0
535,3h 8m,7.7,155,56,6.3
536,1h 46m,6.3,50,16,6.9
537,1h 38m,5.9,92,23,6.4
538,1h 52m,6.8,116,39,6.4
539,1h 45m,6.8,317,91,6.2
540,1h 47m,5.1,93,44,7.1
541,1h 57m,8.1,1.7K,308,6.7
542,1h 35m,5.9,67,19,5.8
543,1h 33m,6.5,158,52,7.8
544,1h 42m,5.8,113,46,6.2
546,1h 44m,4.1,417,60,6.9
547,1h 36m,6.2,78,42,7.6
548,1h 42m,5.5,58,34,6.7
549,1h 38m,7.3,33,25,6.8
550,1h 33m,6.3,68,28,6.9
551,1h 16m,7.9,640,243,6.9
552,1h 45m,6.4,177,43,4.6
553,2h 10m,7.8,651,102,6.0
555,1h 59m,7.9,622,164,6.7
556,1h 36m,7.4,27,39,7.3
558,1h 20m,6.1,64,17,6.9
562,1h 28m,7.4,203,59,6.5
563,2h 40m,7.1,22,8,5.9
564,1h 42m,5.2,32,16,6.2
567,1h 54m,6.5,33,26,7.1
568,1h 41m,6.4,11,12,6.3
569,1h 59m,6.2,31,12,7.0
573,1h 40m,6.9,12,7,5.7
574,1h 40m,6.3,72,27,6.3
575,1h 22m,6.3,76,16,6.2
577,1h 35m,5.7,30,17,5.0
579,1h 36m,6.6,10,11,6.0
580,1h 37m,6.0,30,13,5.9
581,1h 42m,7.8,60,32,7.0
583,1h 40m,7.2,27,26,6.3
585,1h 30m,6.2,108,29,6.3
586,1h 43m,7.7,649,97,6.3
587,2h 7m,7.1,373,93,6.5
588,1h 30m,8.0,406,129,6.8
589,2h 17m,8.6,1.5K,229,5.5
590,3h 1m,8.0,635,96,7.0
592,2h 6m,7.5,1.1K,250,6.6
593,1h 58m,8.6,1.6K,251,6.4
594,1h 23m,7.6,361,138,6.8
595,1h 24m,8.0,501,165,6.8
596,1h 28m,7.5,264,149,7.0
597,1h 59m,7.1,433,90,6.1
599,2h 25m,7.9,384,138,7.1
600,1h 41m,6.0,48,20,6.1
602,1h,7.4,7,12,7.1
605,1h 48m,6.5,106,31,6.5
606,1h 35m,5.2,104,69,6.5
608,1h 38m,8.1,1.1K,153,7.2
609,1h 28m,5.9,42,25,6.0
610,1h 26m,6.6,212,82,7.0
611,1h 25m,5.1,186,104,6.4
612,1h 38m,5.0,66,17,6.7
613,1h 52m,6.8,135,19,7.8
615,1h 40m,7.5,19,10,6.8
616,1h 18m,7.1,169,110,7.0
617,1h 43m,7.0,31,33,7.1
618,1h 58m,5.4,17,9,6.4
619,1h 34m,2.7,50,29,7.0
626,1h 48m,5.6,19,11,5.5
627,1h 32m,6.7,118,37,5.7
628,2h 9m,7.7,399,69,6.6
631,1h 22m,5.5,46,13,5.9
632,1h 49m,7.5,48,17,6.9
633,1h 20m,6.6,22,22,5.5
634,1h 32m,2.4,50,25,5.0
635,1h 49m,7.1,33,20,6.7
636,1h 28m,4.9,17,13,5.5
637,1h 33m,5.8,92,24,7.0
638,1h 50m,6.6,41,14,7.1
639,1h 48m,5.3,30,34,6.5
640,1h 47m,5.4,77,32,6.8
645,1h 46m,7.2,32,19,6.8
647,1h 56m,6.6,133,66,6.9
648,1h 50m,7.2,570,142,6.5
649,1h 23m,7.0,23,10,6.5
650,2h 3m,6.4,45,14,6.2
653,1h 43m,6.4,175,55,5.9
656,1h 40m,5.2,25,20,5.8
661,1h 19m,6.7,113,51,6.9
662,1h 37m,6.2,211,55,6.4
663,1h 29m,6.9,69,28,7.0
665,2h 50m,8.1,158,35,7.0
667,1h 30m,4.8,25,21,4.0
668,2h 5m,8.2,195,121,7.2
670,1h 45m,8.5,57,56,7.2
671,1h 13m,7.2,186,44,7.3
673,1h 28m,6.5,298,87,7.4
674,1h 38m,5.8,246,136,5.8
678,25m,7.5,24,2,6.2
679,1h 49m,6.2,13,10,6.3
680,1h 39m,7.0,149,100,6.1
685,1h 50m,7.1,57,20,6.1
688,1h 47m,5.2,38,21,6.7
691,1h 45m,6.2,63,15,6.4
692,1h 34m,4.1,51,34,7.8
694,1h 54m,6.0,88,30,6.5
695,1h 34m,5.2,27,4,5.2
697,1h 39m,5.4,56,29,6.0
698,1h 42m,4.7,20,13,5.8
700,1h 30m,6.7,63,18,5.6
703,1h 26m,4.9,34,16,5.5
704,1h 35m,5.6,105,46,5.7
706,1h 39m,5.9,9,8,7.2
707,1h 47m,6.3,140,41,6.9
708,1h 37m,6.3,114,40,7.4
709,1h 14m,6.6,123,69,6.9
710,1h 31m,5.3,37,17,6.5
711,1h 35m,5.3,35,23,6.2
714,2h 1m,7.5,387,112,6.8
715,2h 15m,7.0,32,24,6.4
718,1h 47m,7.0,94,17,5.9
719,1h 57m,6.1,112,42,6.5
720,,,0,0,7.9
722,1h 29m,7.3,12,9,4.9
724,1h 41m,6.4,285,99,6.9
725,1h 31m,5.5,32,25,5.3
726,1h 43m,5.7,25,19,6.4
728,1h 45m,7.2,77,29,6.8
731,2h 12m,5.8,60,36,7.2
733,2h 16m,7.4,564,93,6.5
735,1h 45m,7.1,191,118,6.8
736,1h 53m,6.5,530,127,6.7
737,1h 38m,3.5,131,79,7.0
741,1h 23m,7.9,373,112,5.8
742,1h 33m,5.8,165,65,6.5
743,1h 21m,5.3,97,28,5.9
745,30m,8.1,67,23,7.4
747,1h 34m,4.3,98,20,6.3
748,1h 55m,6.2,175,56,6.4
750,1h 35m,8.4,1.1K,247,7.5
757,1h 40m,7.0,56,124,6.8
759,1h 45m,7.3,8,5,7.4
760,2h 14m,7.5,179,31,5.6
761,1h 40m,5.1,190,66,6.7
762,1h 55m,4.5,156,49,5.9
764,1h 45m,6.7,69,29,7.3
765,1h 53m,5.8,99,31,6.3
766,1h 43m,6.6,46,29,6.5
773,1h 25m,7.0,25,34,6.9
775,2h 1m,6.4,80,55,6.9
778,1h 33m,8.1,716,142,7.3
779,1h 53m,4.8,44,20,7.3
780,2h 25m,7.0,1K,137,6.2
781,1h 58m,6.5,98,32,6.5
782,1h 56m,5.9,129,48,6.7
783,1h 31m,7.0,346,69,6.8
784,1h 36m,6.1,441,70,6.8
785,1h 54m,6.9,246,59,5.9
786,1h 55m,6.2,174,87,6.0
788,1h 35m,5.7,146,44,6.7
790,1h 22m,7.3,10,6,7.6
791,1h 25m,8.6,1,4,6.9
795,1h 42m,5.4,6,6,5.9
798,1h 54m,5.9,137,80,5.9
799,1h 50m,7.1,273,115,7.8
800,2h 15m,7.4,210,46,6.5
801,1h 40m,5.9,48,24,7.2
802,2h 3m,6.4,153,44,6.6
803,1h 26m,6.7,33,18,7.1
804,1h 36m,6.0,113,31,6.5
805,2h 29m,7.5,341,64,6.6
806,1h 28m,5.8,47,34,5.7
808,1h 49m,5.7,40,16,6.6
809,1h 38m,5.4,40,31,7.7
810,1h 33m,3.1,116,23,7.1
813,1h 33m,5.6,45,29,6.4
818,1h 30m,5.9,76,28,7.3
823,1h 26m,7.3,33,37,6.9
824,2h 19m,6.8,2,6,6.9
828,1h 36m,5.2,26,22,6.9
829,1h 20m,5.5,70,13,7.8
830,1h 43m,6.4,152,45,6.3
832,2h 1m,6.7,211,52,7.1
833,1h 26m,5.5,39,21,7.1
835,1h 42m,6.1,72,9,5.8
836,1h 47m,5.6,127,46,6.3
837,1h 38m,7.0,256,60,6.8
838,2h,6.6,172,49,6.6
839,1h 24m,4.6,182,58,8.0
840,1h 48m,5.8,36,10,6.6
841,1h 30m,7.6,191,137,6.9
842,1h 27m,5.4,99,85,6.4
848,1h 57m,7.0,94,19,6.6
849,1h 41m,5.7,304,137,5.7
851,1h 47m,6.9,93,39,7.1
852,2h 15m,6.4,93,40,6.0
858,2h 55m,9.2,5.4K,207,6.3
861,1h 36m,6.9,84,63,6.0
866,1h 49m,7.3,247,101,7.2
867,1h 29m,5.0,40,10,5.9
869,1h 56m,6.3,53,50,6.3
870,1h 34m,4.8,84,18,5.9
875,1h 23m,6.0,4,1,4.5
876,1h 44m,6.1,32,16,6.0
879,1h 50m,5.8,240,119,5.9
880,1h 36m,4.5,197,59,6.6
881,1h 41m,5.2,23,16,5.2
882,1h 34m,5.7,70,29,6.5
885,1h 50m,5.3,40,15,6.5
886,1h 24m,5.8,81,26,7.6
888,1h 11m,5.6,16,5,5.9
889,1h 27m,6.2,5,3,6.3
891,1h 27m,4.7,473,153,7.4
892,2h 14m,7.1,74,25,7.5
893,1h 54m,7.1,55,26,8.0
896,1h 50m,7.3,37,20,6.2
897,2h 50m,6.8,91,26,6.8
898,1h 52m,7.9,277,81,6.4
899,1h 43m,8.3,807,183,6.3
900,1h 54m,7.2,200,78,6.5
901,1h 43m,7.0,177,77,6.3
902,1h 55m,7.6,536,190,6.1
903,2h 8m,8.3,1K,193,7.6
904,1h 52m,8.5,1K,192,7.6
905,1h 45m,8.1,377,125,6.5
906,1h 54m,7.8,192,88,6.4
907,1h 47m,7.4,84,48,6.9
908,2h 16m,8.3,730,194,7.6
909,2h 5m,8.3,431,245,6.8
910,2h 1m,8.2,511,238,6.8
911,1h 53m,7.9,389,102,6.3
912,1h 42m,8.5,1.5K,206,6.5
913,1h 40m,8.0,482,164,6.0
914,2h 50m,7.7,398,107,6.4
